id;type;start;end;text;norm;score;apply;replacement
SNILS:4939-4953;SNILS;4939;4953;354-278-498 10;354-278-498 10;1.00;true;[SNILS_013]
SNILS:4973-4987;SNILS;4973;4987;084-124-118 36;084-124-118 36;1.00;true;[SNILS_014]
SNILS:5007-5021;SNILS;5007;5021;244-935-348 91;244-935-348 91;1.00;true;[SNILS_015]
SNILS:5041-5055;SNILS;5041;5055;740-164-005 51;740-164-005 51;1.00;true;[SNILS_016]
SNILS:5075-5089;SNILS;5075;5089;242-786-801 94;242-786-801 94;1.00;true;[SNILS_017]
SNILS:5109-5123;SNILS;5109;5123;128-059-826 75;128-059-826 75;1.00;true;[SNILS_018]
SNILS:5143-5157;SNILS;5143;5157;204-505-331 11;204-505-331 11;1.00;true;[SNILS_019]
SNILS:5177-5191;SNILS;5177;5191;586-923-226 41;586-923-226 41;1.00;true;[SNILS_020]
SNILS:5211-5225;SNILS;5211;5225;025-634-216 31;025-634-216 31;1.00;true;[SNILS_021]
SNILS:5245-5259;SNILS;5245;5259;073-375-433 70;073-375-433 70;1.00;true;[SNILS_022]
SNILS:5279-5293;SNILS;5279;5293;036-541-458 49;036-541-458 49;1.00;true;[SNILS_023]
SNILS:5313-5327;SNILS;5313;5327;685-014-294 00;685-014-294 00;1.00;true;[SNILS_024]
SNILS:5347-5361;SNILS;5347;5361;019-655-698 95;019-655-698 95;1.00;true;[SNILS_025]
SNILS:5381-5395;SNILS;5381;5395;169-340-608 83;169-340-608 83;1.00;true;[SNILS_026]
SNILS:5415-5429;SNILS;5415;5429;835-615-951 28;835-615-951 28;1.00;true;[SNILS_027]
SNILS:5449-5463;SNILS;5449;5463;484-656-482 41;484-656-482 41;1.00;true;[SNILS_028]
SNILS:5483-5497;SNILS;5483;5497;366-299-468 40;366-299-468 40;1.00;true;[SNILS_029]
SNILS:5517-5531;SNILS;5517;5531;044-369-957 87;044-369-957 87;1.00;true;[SNILS_030]
SNILS:5551-5565;SNILS;5551;5565;773-872-148 48;773-872-148 48;1.00;true;[SNILS_031]
SNILS:5585-5599;SNILS;5585;5599;951-343-320 90;951-343-320 90;1.00;true;[SNILS_032]
SNILS:5619-5633;SNILS;5619;5633;037-917-693 98;037-917-693 98;1.00;true;[SNILS_033]
SNILS:5653-5667;SNILS;5653;5667;676-320-163 97;676-320-163 97;1.00;true;[SNILS_034]
SNILS:5687-5701;SNILS;5687;5701;287-083-172 00;287-083-172 00;1.00;true;[SNILS_035]
SNILS:5721-5735;SNILS;5721;5735;788-957-986 36;788-957-986 36;1.00;true;[SNILS_036]
SNILS:5755-5769;SNILS;5755;5769;872-774-348 58;872-774-348 58;1.00;true;[SNILS_037]
SNILS:5789-5803;SNILS;5789;5803;734-714-345 99;734-714-345 99;1.00;true;[SNILS_038]
SNILS:5823-5837;SNILS;5823;5837;581-223-623 74;581-223-623 74;1.00;true;[SNILS_039]
SNILS:5857-5871;SNILS;5857;5871;166-587-603 16;166-587-603 16;1.00;true;[SNILS_040]
SNILS:5890-5904;SNILS;5890;5904;669-096-705 59;669-096-705 59;0.20;false;[SNILS_041]
SNILS:5923-5937;SNILS;5923;5937;466-889-373 75;466-889-373 75;0.20;false;[SNILS_042]
SNILS:5956-5970;SNILS;5956;5970;467-065-627 11;467-065-627 11;0.20;false;[SNILS_043]
SNILS:5989-6003;SNILS;5989;6003;298-069-901 39;298-069-901 39;0.20;false;[SNILS_044]
SNILS:6022-6036;SNILS;6022;6036;627-204-653 78;627-204-653 78;0.20;false;[SNILS_045]
SNILS:6055-6069;SNILS;6055;6069;755-646-417 38;755-646-417 38;0.20;false;[SNILS_046]
SNILS:6088-6102;SNILS;6088;6102;080-531-003 16;080-531-003 16;0.20;false;[SNILS_047]
SNILS:6121-6135;SNILS;6121;6135;309-232-719 57;309-232-719 57;0.20;false;[SNILS_048]
SNILS:6154-6168;SNILS;6154;6168;374-529-912 17;374-529-912 17;0.20;false;[SNILS_049]
SNILS:6187-6201;SNILS;6187;6201;419-049-663 96;419-049-663 96;0.20;false;[SNILS_050]
SNILS:6220-6234;SNILS;6220;6234;193-149-190 85;193-149-190 85;0.20;false;[SNILS_051]
SNILS:6253-6267;SNILS;6253;6267;586-518-506 38;586-518-506 38;0.20;false;[SNILS_052]
SNILS:6286-6300;SNILS;6286;6300;716-572-628 15;716-572-628 15;0.20;false;[SNILS_053]
SNILS:6319-6333;SNILS;6319;6333;498-776-945 03;498-776-945 03;0.20;false;[SNILS_054]
SNILS:6352-6366;SNILS;6352;6366;314-737-996 99;314-737-996 99;0.20;false;[SNILS_055]
SNILS:6385-6399;SNILS;6385;6399;507-527-354 85;507-527-354 85;0.20;false;[SNILS_056]
SNILS:6418-6432;SNILS;6418;6432;549-480-831 34;549-480-831 34;0.20;false;[SNILS_057]
SNILS:6451-6465;SNILS;6451;6465;367-837-770 49;367-837-770 49;0.20;false;[SNILS_058]
SNILS:6484-6498;SNILS;6484;6498;143-634-957 73;143-634-957 73;0.20;false;[SNILS_059]
SNILS:6517-6531;SNILS;6517;6531;885-685-574 99;885-685-574 99;0.20;false;[SNILS_060]
SNILS:6550-6564;SNILS;6550;6564;443-135-182 51;443-135-182 51;0.20;false;[SNILS_061]
SNILS:6583-6597;SNILS;6583;6597;337-498-941 36;337-498-941 36;0.20;false;[SNILS_062]
SNILS:6616-6630;SNILS;6616;6630;343-524-082 54;343-524-082 54;0.20;false;[SNILS_063]
SNILS:6649-6663;SNILS;6649;6663;400-842-710 35;400-842-710 35;0.20;false;[SNILS_064]
SNILS:6682-6696;SNILS;6682;6696;947-775-204 68;947-775-204 68;0.20;false;[SNILS_065]
SNILS:6715-6729;SNILS;6715;6729;711-671-902 82;711-671-902 82;0.20;false;[SNILS_066]
SNILS:6748-6762;SNILS;6748;6762;294-131-869 88;294-131-869 88;0.20;false;[SNILS_067]
SNILS:6781-6795;SNILS;6781;6795;993-867-749 16;993-867-749 16;0.20;false;[SNILS_068]
SNILS:6814-6828;SNILS;6814;6828;649-909-133 50;649-909-133 50;0.20;false;[SNILS_069]
SNILS:6847-6861;SNILS;6847;6861;412-328-120 25;412-328-120 25;0.20;false;[SNILS_070]
SNILS:7384-7398;SNILS;7384;7398;974-034-471 21;974-034-471 21;1.00;true;[SNILS_071]
PER:7431-7443;PER;7431;7443;И.О. Сидоров;;0.50;false;[PER_002]
PER:7499-7511;PER;7499;7511;Валя Лебедев;;0.50;false;[PER_003]
PER:7633-7645;PER;7633;7645;И.О. Сидоров;;0.50;false;[PER_002]
PER:7732-7744;PER;7732;7744;И.О. Сидоров;;0.50;false;[PER_002]
PER:7800-7810;PER;7800;7810;Валя Серов;;0.50;false;[PER_004]
PER:7853-7863;PER;7853;7863;Май Иванов;;0.50;false;[PER_005]
PER:7906-7918;PER;7906;7918;И.О. Кравцов;;0.50;false;[PER_006]
PER:7961-7973;PER;7961;7973;И.О. Сидоров;;0.50;false;[PER_002]
PHONE:8158-8173;PHONE;8158;8173;7-989-512-44-74;+79895124474;0.90;true;[PHONE_051]
SNILS:8239-8253;SNILS;8239;8253;190-659-401 90;190-659-401 90;1.00;true;[SNILS_072]
PER:8286-8302;PER;8286;8302;Владимир Лебедев;;0.50;false;[PER_007]
PER:8345-8357;PER;8345;8357;И.О. Сидоров;;0.50;false;[PER_002]
PHONE:8509-8524;PHONE;8509;8524;7-973-141-32-70;+79731413270;0.90;true;[PHONE_052]
PHONE:8576-8594;PHONE;8576;8594;+7 (923) 699-65-91;+79236996591;0.90;true;[PHONE_053]
SNILS:8660-8674;SNILS;8660;8674;565-512-567 03;565-512-567 03;1.00;true;[SNILS_073]
PHONE:8724-8742;PHONE;8724;8742;+7 (984) 510-80-14;+79845108014;0.90;true;[PHONE_054]
PHONE:8794-8812;PHONE;8794;8812;+7 (932) 431-24-61;+79324312461;0.90;true;[PHONE_055]
PER:8847-8859;PER;8847;8859;И.О. Сидоров;;0.50;false;[PER_002]
PHONE:9042-9060;PHONE;9042;9060;+7 (979) 874-73-90;+79798747390;0.90;true;[PHONE_056]
PER:9150-9169;PER;9150;9169;И.О. Сидоров-Петров;;0.50;false;[PER_008]
PER:9212-9224;PER;9212;9224;И.О. Сидоров;;0.50;false;[PER_002]
SNILS:9311-9325;SNILS;9311;9325;109-324-808 47;109-324-808 47;1.00;true;[SNILS_074]
SNILS:9389-9403;SNILS;9389;9403;131-712-748 31;131-712-748 31;1.00;true;[SNILS_075]
PER:9436-9448;PER;9436;9448;И.О. Сидоров;;0.50;false;[PER_002]
PHONE:9521-9536;PHONE;9521;9536;7-953-954-71-70;+79539547170;0.90;true;[PHONE_057]
PHONE:9645-9673;PHONE;9645;9673;+7 (964) 373-10-46 доб. 4901;;0.90;true;[PHONE_058]
SNILS:9756-9767;SNILS;9756;9767;79426657958;794-266-579 58;0.20;false;[SNILS_076]
PER:9881-9893;PER;9881;9893;Саша Кравцов;;0.50;false;[PER_009]
SNILS:9967-9981;SNILS;9967;9981;360-576-627 92;360-576-627 92;1.00;true;[SNILS_077]
SNILS:10253-10267;SNILS;10253;10267;026-217-459 33;026-217-459 33;1.00;true;[SNILS_078]
PER:10300-10312;PER;10300;10312;И.О. Сидоров;;0.50;false;[PER_002]
SNILS:10399-10413;SNILS;10399;10413;158-657-809 25;158-657-809 25;1.00;true;[SNILS_079]
ADDR:10448-10478;ADDR;10448;10478;р-н Казань, ул Ломоносова д 12;;0.70;false;[ADDR_003]
PER:10502-10514;PER;10502;10514;И.О. Сидоров;;0.50;false;[PER_002]
ADDR:10572-10602;ADDR;10572;10602;город Тверь, пр-кт Победы, д 1;;0.70;false;[ADDR_004]
SNILS:10657-10671;SNILS;10657;10671;240-050-455 01;240-050-455 01;1.00;true;[SNILS_080]
SNILS:10735-10749;SNILS;10735;10749;238-692-221 97;238-692-221 97;1.00;true;[SNILS_081]
PER:10814-10833;PER;10814;10833;Саша Сидоров-Петров;;0.50;false;[PER_010]
PER:10876-10888;PER;10876;10888;И.О. Сидоров;;0.50;false;[PER_002]
SNILS:10962-10973;SNILS;10962;10973;79583619511;795-836-195 11;0.20;false;[SNILS_082]
PER:11008-11020;PER;11008;11020;И.О. Сидоров;;0.50;false;[PER_002]
PER:11126-11136;PER;11126;11136;Пётр Серов;;0.50;false;[PER_011]
SNILS:11210-11224;SNILS;11210;11224;136-959-440 08;136-959-440 08;1.00;true;[SNILS_083]
PER:11336-11348;PER;11336;11348;И.О. Сидоров;;0.50;false;[PER_002]
SNILS:11435-11449;SNILS;11435;11449;409-097-439 98;409-097-439 98;1.00;true;[SNILS_084]
PHONE:11578-11593;PHONE;11578;11593;8 928 751 34 89;+79287513489;0.90;true;[PHONE_059]
PER:11628-11640;PER;11628;11640;И.О. Сидоров;;0.50;false;[PER_002]
ADDR:11757-11795;ADDR;11757;11795;город Рим, проспект Мира, дом 10, корп;;0.70;false;[ADDR_005]
PHONE:11839-11854;PHONE;11839;11854;8 941 865 63 32;+79418656332;0.90;true;[PHONE_060]
PHONE:12007-12022;PHONE;12007;12022;7-961-925-47-53;+79619254753;0.90;true;[PHONE_061]
SNILS:12445-12459;SNILS;12445;12459;098-593-174 34;098-593-174 34;1.00;true;[SNILS_085]
PER:12492-12504;PER;12492;12504;И.О. Сидоров;;0.50;false;[PER_002]
SNILS:12591-12605;SNILS;12591;12605;120-047-113 81;120-047-113 81;1.00;true;[SNILS_086]
PER:12667-12679;PER;12667;12679;И.О. Сидоров;;0.50;false;[PER_002]
PER:12735-12747;PER;12735;12747;И.О. Сидоров;;0.50;false;[PER_002]
SNILS:12856-12870;SNILS;12856;12870;964-053-773 30;964-053-773 30;1.00;true;[SNILS_087]
PHONE:12999-13017;PHONE;12999;13017;+7 (912) 802-57-79;+79128025779;0.90;true;[PHONE_062]
SNILS:13083-13097;SNILS;13083;13097;431-713-900 52;431-713-900 52;1.00;true;[SNILS_088]
PHONE:13226-13254;PHONE;13226;13254;+7 (931) 228-82-36 доб. 1134;;0.90;true;[PHONE_063]
PER:13289-13299;PER;13289;13299;Женя Серов;;0.50;false;[PER_012]
PHONE:13701-13719;PHONE;13701;13719;+7 (922) 212-94-13;+79222129413;0.90;true;[PHONE_064]
SNILS:13772-13783;SNILS;13772;13783;79307025112;793-070-251 12;0.20;false;[SNILS_089]
PHONE:14031-14046;PHONE;14031;14046;8 965 707 23 67;+79657072367;0.90;true;[PHONE_065]
SNILS:14206-14220;SNILS;14206;14220;177-115-921 76;177-115-921 76;1.00;true;[SNILS_090]
PER:14253-14265;PER;14253;14265;Валя Кравцов;;0.50;false;[PER_013]
PER:14308-14320;PER;14308;14320;И.О. Сидоров;;0.50;false;[PER_002]
PER:14427-14439;PER;14427;14439;И.О. Сидоров;;0.50;false;[PER_002]
SNILS:14594-14608;SNILS;14594;14608;365-766-156 23;365-766-156 23;1.00;true;[SNILS_091]
PHONE:14658-14676;PHONE;14658;14676;+7 (985) 361-57-29;+79853615729;0.90;true;[PHONE_066]
ADDR:14713-14749;ADDR;14713;14749;Республика Москва, пр-кт Победы, д 1;;0.70;false;[ADDR_006]
ADDR:14775-14812;ADDR;14775;14812;край Рим, проспект Мира, дом 10, корп;;0.70;false;[ADDR_007]
PER:14902-14914;PER;14902;14914;И.О. Сидоров;;0.50;false;[PER_002]
PER:15123-15135;PER;15123;15135;И.О. Сидоров;;0.50;false;[PER_002]
ADDR:15252-15284;ADDR;15252;15284;пос. Пермь, пер. Чехова, д.7, кв;;0.70;false;[ADDR_008]
PER:15312-15324;PER;15312;15324;И.О. Сидоров;;0.50;false;[PER_002]
SNILS:15411-15425;SNILS;15411;15425;315-851-493 79;315-851-493 79;1.00;true;[SNILS_092]
SNILS:15568-15582;SNILS;15568;15582;899-809-402 02;899-809-402 02;1.00;true;[SNILS_093]
PHONE:15632-15650;PHONE;15632;15650;+7 (989) 880-49-53;+79898804953;0.90;true;[PHONE_067]
PER:15685-15700;PER;15685;15700;Надежда Кравцов;;0.50;false;[PER_014]
PER:15743-15755;PER;15743;15755;И.О. Сидоров;;0.50;false;[PER_002]
SNILS:15842-15856;SNILS;15842;15856;120-183-667 19;120-183-667 19;1.00;true;[SNILS_094]
PHONE:15906-15934;PHONE;15906;15934;+7 (920) 478-49-51 доб. 9309;;0.90;true;[PHONE_068]
SNILS:16179-16193;SNILS;16179;16193;797-643-815 81;797-643-815 81;1.00;true;[SNILS_095]
SNILS:16257-16271;SNILS;16257;16271;149-784-036 12;149-784-036 12;1.00;true;[SNILS_096]
PHONE:16486-16501;PHONE;16486;16501;8 915 107 73 65;+79151077365;0.90;true;[PHONE_069]
SNILS:16567-16581;SNILS;16567;16581;838-851-606 51;838-851-606 51;1.00;true;[SNILS_097]
SNILS:16736-16750;SNILS;16736;16750;416-052-975 64;416-052-975 64;1.00;true;[SNILS_098]
ADDR:16785-16813;ADDR;16785;16813;р-н Тверь, пр-кт Победы, д 1;;0.70;false;[ADDR_009]
SNILS:16868-16882;SNILS;16868;16882;968-164-535 61;968-164-535 61;1.00;true;[SNILS_099]
PER:17048-17060;PER;17048;17060;И.О. Сидоров;;0.50;false;[PER_002]
PHONE:17271-17289;PHONE;17271;17289;+7 (944) 844-92-28;+79448449228;0.90;true;[PHONE_070]
PER:17382-17397;PER;17382;17397;Надежда Лебедев;;0.50;false;[PER_015]
PER:17519-17531;PER;17519;17531;И.О. Сидоров;;0.50;false;[PER_002]
PER:17754-17766;PER;17754;17766;И.О. Сидоров;;0.50;false;[PER_002]
SNILS:17840-17851;SNILS;17840;17851;79195501870;791-955-018 70;0.20;false;[SNILS_100]
SNILS:17983-17994;SNILS;17983;17994;79751575574;797-515-755 74;0.20;false;[SNILS_101]
SNILS:18060-18074;SNILS;18060;18074;700-541-199 46;700-541-199 46;1.00;true;[SNILS_102]
SNILS:18161-18175;SNILS;18161;18175;935-978-207 72;935-978-207 72;1.00;true;[SNILS_103]
PER:18261-18273;PER;18261;18273;И.О. Сидоров;;0.50;false;[PER_002]
PER:18386-18398;PER;18386;18398;И.О. Сидоров;;0.50;false;[PER_002]
SNILS:18485-18499;SNILS;18485;18499;788-925-546 94;788-925-546 94;1.00;true;[SNILS_104]
SNILS:18563-18577;SNILS;18563;18577;590-515-186 96;590-515-186 96;1.00;true;[SNILS_105]
SNILS:18628-18639;SNILS;18628;18639;79328419487;793-284-194 87;0.20;false;[SNILS_106]
ADDR:18676-18726;ADDR;18676;18726;с. Санкт-Петербург, улица Гоголя, дом 3 строение 1;;0.70;false;[ADDR_010]
PER:18750-18762;PER;18750;18762;И.О. Сидоров;;0.50;false;[PER_002]
PER:18818-18830;PER;18818;18830;И.О. Сидоров;;0.50;false;[PER_002]
PER:18886-18898;PER;18886;18898;И.О. Сидоров;;0.50;false;[PER_002]
SNILS:18985-18999;SNILS;18985;18999;291-486-528 10;291-486-528 10;1.00;true;[SNILS_107]
ADDR:19034-19125;ADDR;19034;19125;"посёлок Тверь, ul. Lenina, d. 4 kv. 8 прошла встреча отдела.
В пос. Рим, ул Ломоносова д 12";;0.70;false;[ADDR_011]
SNILS:19244-19258;SNILS;19244;19258;332-214-188 24;332-214-188 24;1.00;true;[SNILS_108]
PER:19370-19382;PER;19370;19382;И.О. Сидоров;;0.50;false;[PER_002]
SNILS:19492-19506;SNILS;19492;19506;222-927-065 56;222-927-065 56;1.00;true;[SNILS_109]
PER:19539-19551;PER;19539;19551;И.О. Сидоров;;0.50;false;[PER_002]
PER:19607-19619;PER;19607;19619;И.О. Сидоров;;0.50;false;[PER_002]
PER:19675-19688;PER;19675;19688;Роман Кравцов;;0.50;false;[PER_016]
PHONE:19748-19763;PHONE;19748;19763;8 996 866 67 39;+79968666739;0.90;true;[PHONE_071]
PHONE:19815-19830;PHONE;19815;19830;7-960-955-34-57;+79609553457;0.90;true;[PHONE_072]
SNILS:19896-19910;SNILS;19896;19910;468-862-392 53;468-862-392 53;1.00;true;[SNILS_110]
PHONE:20039-20057;PHONE;20039;20057;+7 (906) 756-71-57;+79067567157;0.90;true;[PHONE_073]
PER:20092-20104;PER;20092;20104;И.О. Сидоров;;0.50;false;[PER_002]
PHONE:20286-20301;PHONE;20286;20301;8 957 625 28 65;+79576252865;0.90;true;[PHONE_074]
SNILS:20446-20460;SNILS;20446;20460;506-068-536 75;506-068-536 75;1.00;true;[SNILS_111]
PHONE:20568-20583;PHONE;20568;20583;8 912 959 93 52;+79129599352;0.90;true;[PHONE_075]
PER:20752-20764;PER;20752;20764;И.О. Сидоров;;0.50;false;[PER_002]
SNILS:20851-20865;SNILS;20851;20865;790-104-328 77;790-104-328 77;1.00;true;[SNILS_112]
PER:20898-20910;PER;20898;20910;И.О. Сидоров;;0.50;false;[PER_002]
PER:20996-21007;PER;20996;21007;И.О. Петров;;0.50;false;[PER_001]
PHONE:21237-21265;PHONE;21237;21265;+7 (954) 101-88-55 доб. 3951;;0.90;true;[PHONE_076]
SNILS:21331-21345;SNILS;21331;21345;218-518-888 96;218-518-888 96;1.00;true;[SNILS_113]
SNILS:21418-21429;SNILS;21418;21429;79328651255;793-286-512 55;0.20;false;[SNILS_114]
PER:21464-21476;PER;21464;21476;Вера Лебедев;;0.50;false;[PER_017]
PHONE:21567-21582;PHONE;21567;21582;8 982 279 97 69;+79822799769;0.90;true;[PHONE_077]
PER:21696-21705;PER;21696;21705;Май Батов;;0.50;false;[PER_018]
SNILS:21858-21872;SNILS;21858;21872;043-030-548 99;043-030-548 99;1.00;true;[SNILS_115]
SNILS:21936-21950;SNILS;21936;21950;874-034-505 05;874-034-505 05;1.00;true;[SNILS_116]
PHONE:22000-22015;PHONE;22000;22015;7-915-918-57-65;+79159185765;0.90;true;[PHONE_078]
SNILS:22081-22095;SNILS;22081;22095;527-758-416 27;527-758-416 27;1.00;true;[SNILS_117]
SNILS:22214-22225;SNILS;22214;22225;79412052051;794-120-520 51;0.20;false;[SNILS_118]
SNILS:22291-22305;SNILS;22291;22305;962-757-059 55;962-757-059 55;1.00;true;[SNILS_119]
SNILS:22369-22383;SNILS;22369;22383;401-658-202 43;401-658-202 43;1.00;true;[SNILS_120]
PER:22604-22616;PER;22604;22616;И.О. Сидоров;;0.50;false;[PER_002]
PHONE:22689-22704;PHONE;22689;22704;8 946 492 82 14;+79464928214;0.90;true;[PHONE_079]
PER:22739-22751;PER;22739;22751;И.О. Сидоров;;0.50;false;[PER_002]
SNILS:22838-22852;SNILS;22838;22852;557-192-856 31;557-192-856 31;1.00;true;[SNILS_121]
PHONE:22902-22917;PHONE;22902;22917;8 983 385 41 24;+79833854124;0.90;true;[PHONE_080]
SNILS:22983-22997;SNILS;22983;22997;868-144-739 52;868-144-739 52;1.00;true;[SNILS_122]
PHONE:23047-23065;PHONE;23047;23065;+7 (988) 602-35-25;+79886023525;0.90;true;[PHONE_081]
